Branch,Internship_Role,Mode,Key_Responsibilities,Duration_Months,Stipend_Range
Medical,Public Health Intern,Hybrid,Work on community health awareness and data reporting.,3,20k+
Management,Operations Intern,On-site,Optimize supply chain workflows and inventory management.,12,20k+
UPSC,Policy Research Intern,Remote,Analyze government schemes and draft impact reports.,12,10k - 20k
Media,Video Production Intern,On-site,Assist in shooting and editing video content.,6,5k - 10k
Agriculture,Soil Analysis Intern,On-site,Test soil samples and recommend fertilizers.,6,20k+
Hotel Management,Event Management Intern,On-site,"Coordinate weddings, banquets, and corporate events.",6,Unpaid
UPSC,Policy Research Intern,Remote,Analyze government schemes and draft impact reports.,12,10k - 20k
UPSC,Policy Research Intern,Remote,Analyze government schemes and draft impact reports.,12,5k - 10k
Computer Science,Data Science Intern,On-site,Analyze large datasets and build predictive models.,6,5k - 10k
Law,Legal Intern (Litigation),On-site,Assist in case research and drafting legal petitions.,6,20k+
Civil Engineering,Site Supervision Intern,On-site,Monitor construction progress and safety compliance.,3,Unpaid
Media,Social Media Intern,Remote,Manage engagement and content calendars.,3,Unpaid
Banking,Retail Banking Intern,On-site,Assist in loan processing and customer relationship management.,6,10k - 20k
Computer Science,Cybersecurity Intern,On-site,Conduct vulnerability assessments and network monitoring.,3,Unpaid
Banking,Risk Analytics Intern,Hybrid,Analyze credit risks and market volatility patterns.,6,10k - 20k
Education,Special Education Intern,On-site,Assist in teaching students with diverse needs.,6,10k - 20k
Agriculture,Agri-Business Intern,Hybrid,Work on supply chain and marketing of agri-products.,6,20k+
Environmental Science,Wildlife Conservation Intern,On-site,Assist in habitat restoration and animal tracking.,6,20k+
Media,Video Production Intern,On-site,Assist in shooting and editing video content.,3,5k - 10k
Agriculture,Soil Analysis Intern,On-site,Test soil samples and recommend fertilizers.,6,5k - 10k
Medical,Hospital Administration Intern,On-site,Learn healthcare operations and patient flow management.,12,5k - 10k
Design,Interior Design Intern,On-site,Assist in mood boarding and site measurements.,3,Unpaid
Civil Engineering,Structural Design Intern,On-site,Assist in CAD drafting and structural analysis.,6,5k - 10k
Information Technology,Network Engineering Intern,On-site,"Configure routers, switches, and monitor network traffic.",6,20k+
Pharmacy,Clinical Trial Coordinator Intern,On-site,Manage documentation for ongoing drug trials.,12,5k - 10k
Robotics,Robotic Vision Intern,Hybrid,Work on image processing for autonomous robots.,3,5k - 10k
Agriculture,Precision Farming Intern,On-site,Use GPS and IoT data to optimize crop yields.,3,10k - 20k
Commerce,Financial Consulting Intern,Remote,Assist in client financial planning and advisory.,12,Unpaid
Management,Human Resources Intern,Hybrid,"Assist in recruitment, onboarding, and employee records.",6,10k - 20k
Medical,Nursing Intern,On-site,Assist senior staff in patient care and vitals monitoring.,12,10k - 20k
Education,Curriculum Design Intern,Remote,Research and build educational frameworks.,6,Unpaid
Agriculture,Agri-Business Intern,Hybrid,Work on supply chain and marketing of agri-products.,12,10k - 20k
Media,Video Production Intern,On-site,Assist in shooting and editing video content.,3,Unpaid
Computer Science,Software Engineering Intern,Remote/On-site,Focus on full-stack development and bug fixing.,3,20k+
Design,UI/UX Design Intern,Remote,Build wireframes and prototypes for mobile apps.,12,5k - 10k
Management,Operations Intern,On-site,Optimize supply chain workflows and inventory management.,12,Unpaid
Robotics,Mechanical Assembly Intern,On-site,Assist in the physical build of robotic prototypes.,6,10k - 20k
Civil Engineering,Site Supervision Intern,On-site,Monitor construction progress and safety compliance.,6,Unpaid
Design,Graphic Design Intern,Remote,Create brand visuals and social media graphics.,12,Unpaid
Banking,Wealth Management Intern,On-site,Help manage portfolio allocations for HNI clients.,12,Unpaid
Education,School Counseling Intern,On-site,Assist in student career guidance and mental health.,6,5k - 10k
UPSC,Content Development Intern,Hybrid,Create study materials for civil service aspirants.,12,10k - 20k
Commerce,Accounting Intern,On-site,Manage accounts payable/receivable and bank reconciliation.,6,20k+
Environmental Science,Wildlife Conservation Intern,On-site,Assist in habitat restoration and animal tracking.,6,20k+
UPSC,Content Development Intern,Hybrid,Create study materials for civil service aspirants.,3,10k - 20k
Hotel Management,Front Office Intern,On-site,"Handle guest check-ins, check-outs, and reservations.",6,5k - 10k
Robotics,Mechanical Assembly Intern,On-site,Assist in the physical build of robotic prototypes.,6,10k - 20k
Banking,Wealth Management Intern,On-site,Help manage portfolio allocations for HNI clients.,3,Unpaid
Law,Legal Intern (Litigation),On-site,Assist in case research and drafting legal petitions.,3,20k+
Education,School Counseling Intern,On-site,Assist in student career guidance and mental health.,6,5k - 10k
Civil Engineering,Surveying Intern,On-site,Perform land measurements using total station and GPS.,3,5k - 10k
Commerce,Taxation Intern,Hybrid,Prepare tax returns and research latest tax laws.,6,5k - 10k
Commerce,Accounting Intern,On-site,Manage accounts payable/receivable and bank reconciliation.,12,20k+
Robotics,Embedded Systems Intern,On-site,Program microcontrollers and test hardware sensors.,12,Unpaid
Computer Science,AI/ML Research Intern,Hybrid,Assist in training neural networks and researching algorithms.,3,20k+
Pharmacy,Clinical Trial Coordinator Intern,On-site,Manage documentation for ongoing drug trials.,6,20k+
Media,Public Relations Intern,Hybrid,Draft press releases and manage media relations.,6,Unpaid
Computer Science,AI/ML Research Intern,Hybrid,Assist in training neural networks and researching algorithms.,6,Unpaid
Banking,Wealth Management Intern,On-site,Help manage portfolio allocations for HNI clients.,12,Unpaid
Medical,Public Health Intern,Hybrid,Work on community health awareness and data reporting.,12,Unpaid
Media,Social Media Intern,Remote,Manage engagement and content calendars.,6,10k - 20k
Media,Public Relations Intern,Hybrid,Draft press releases and manage media relations.,6,Unpaid
Education,Curriculum Design Intern,Remote,Research and build educational frameworks.,12,5k - 10k
Computer Science,Web Development Intern,Remote,Develop responsive front-end components using React/Vue.,6,5k - 10k
Media,Social Media Intern,Remote,Manage engagement and content calendars.,12,10k - 20k
Media,Public Relations Intern,Hybrid,Draft press releases and manage media relations.,3,20k+
Civil Engineering,Urban Planning Intern,Hybrid,Work on zoning layouts and city infrastructure projects.,12,20k+
Banking,Retail Banking Intern,On-site,Assist in loan processing and customer relationship management.,6,20k+
Banking,Investment Banking Analyst Intern,On-site,Perform financial modeling and market research.,3,Unpaid
UPSC,Content Development Intern,Hybrid,Create study materials for civil service aspirants.,6,5k - 10k
Pharmacy,Quality Control Intern,On-site,Test pharmaceutical samples for purity and standards.,3,20k+
Robotics,Robotic Vision Intern,Hybrid,Work on image processing for autonomous robots.,12,10k - 20k
Law,Corporate Law Intern,On-site,"Work on mergers, acquisitions, and contract drafting.",3,Unpaid
Agriculture,Soil Analysis Intern,On-site,Test soil samples and recommend fertilizers.,3,Unpaid
Banking,Risk Analytics Intern,Hybrid,Analyze credit risks and market volatility patterns.,6,20k+
Robotics,Mechanical Assembly Intern,On-site,Assist in the physical build of robotic prototypes.,6,5k - 10k
Management,Operations Intern,On-site,Optimize supply chain workflows and inventory management.,12,Unpaid
Environmental Science,Environmental Consultant Intern,On-site,Perform EIA (Environmental Impact Assessment) tasks.,3,5k - 10k
Medical,Public Health Intern,Hybrid,Work on community health awareness and data reporting.,12,20k+
Law,IPR Intern,Hybrid,"Research trademarks, patents, and copyright filings.",12,Unpaid
Pharmacy,Clinical Trial Coordinator Intern,On-site,Manage documentation for ongoing drug trials.,3,10k - 20k
Pharmacy,Formulation R&D Intern,On-site,Assist in developing new drug delivery systems.,12,10k - 20k
Robotics,Control Systems Intern,On-site,Tune PID controllers and simulate robot movements.,12,20k+
Media,Social Media Intern,Remote,Manage engagement and content calendars.,6,20k+
Media,Social Media Intern,Remote,Manage engagement and content calendars.,3,Unpaid
Civil Engineering,Surveying Intern,On-site,Perform land measurements using total station and GPS.,6,Unpaid
Civil Engineering,Site Supervision Intern,On-site,Monitor construction progress and safety compliance.,3,10k - 20k
Computer Science,Cybersecurity Intern,On-site,Conduct vulnerability assessments and network monitoring.,6,10k - 20k
Environmental Science,Wildlife Conservation Intern,On-site,Assist in habitat restoration and animal tracking.,3,5k - 10k
Agriculture,Plant Breeding Intern,On-site,Assist in genetic research for pest-resistant crops.,3,20k+
UPSC,Content Development Intern,Hybrid,Create study materials for civil service aspirants.,6,Unpaid
Pharmacy,Clinical Trial Coordinator Intern,On-site,Manage documentation for ongoing drug trials.,3,5k - 10k
Environmental Science,Environmental Consultant Intern,On-site,Perform EIA (Environmental Impact Assessment) tasks.,12,5k - 10k
Computer Science,Web Development Intern,Remote,Develop responsive front-end components using React/Vue.,3,5k - 10k
Education,E-learning Content Intern,Remote,Develop digital lessons and interactive quizzes.,3,20k+
Law,Legal Intern (Litigation),On-site,Assist in case research and drafting legal petitions.,3,5k - 10k
Medical,Nursing Intern,On-site,Assist senior staff in patient care and vitals monitoring.,12,Unpaid
Law,Corporate Law Intern,On-site,"Work on mergers, acquisitions, and contract drafting.",3,5k - 10k
Design,Graphic Design Intern,Remote,Create brand visuals and social media graphics.,12,10k - 20k
Design,UI/UX Design Intern,Remote,Build wireframes and prototypes for mobile apps.,6,Unpaid
Education,School Counseling Intern,On-site,Assist in student career guidance and mental health.,3,5k - 10k
Design,Fashion Styling Intern,On-site,Coordinate garments for shoots and runway events.,12,Unpaid
Medical,Public Health Intern,Hybrid,Work on community health awareness and data reporting.,6,10k - 20k
Robotics,Mechanical Assembly Intern,On-site,Assist in the physical build of robotic prototypes.,6,20k+
Agriculture,Agri-Business Intern,Hybrid,Work on supply chain and marketing of agri-products.,12,Unpaid
Media,Social Media Intern,Remote,Manage engagement and content calendars.,3,10k - 20k
Hotel Management,Culinary Intern,On-site,Assist chefs in food preparation and kitchen management.,12,10k - 20k
Medical,Hospital Administration Intern,On-site,Learn healthcare operations and patient flow management.,3,5k - 10k
Law,Corporate Law Intern,On-site,"Work on mergers, acquisitions, and contract drafting.",6,5k - 10k
Civil Engineering,Surveying Intern,On-site,Perform land measurements using total station and GPS.,3,Unpaid
Robotics,Control Systems Intern,On-site,Tune PID controllers and simulate robot movements.,3,10k - 20k
Media,Video Production Intern,On-site,Assist in shooting and editing video content.,12,5k - 10k
UPSC,Social Sector Intern,On-site,Work with NGOs on grassroots government initiatives.,6,20k+
Medical,Nursing Intern,On-site,Assist senior staff in patient care and vitals monitoring.,12,20k+
Environmental Science,Environmental Consultant Intern,On-site,Perform EIA (Environmental Impact Assessment) tasks.,12,20k+
Agriculture,Agri-Business Intern,Hybrid,Work on supply chain and marketing of agri-products.,3,Unpaid
Design,UI/UX Design Intern,Remote,Build wireframes and prototypes for mobile apps.,3,Unpaid
Information Technology,DevOps Intern,Remote,Help automate CI/CD pipelines and container orchestration.,3,5k - 10k
Management,Marketing & Growth Intern,Remote,Execute social media campaigns and market analysis.,6,5k - 10k
Media,Video Production Intern,On-site,Assist in shooting and editing video content.,6,20k+
Pharmacy,Quality Control Intern,On-site,Test pharmaceutical samples for purity and standards.,6,5k - 10k
UPSC,Social Sector Intern,On-site,Work with NGOs on grassroots government initiatives.,12,5k - 10k
Banking,Wealth Management Intern,On-site,Help manage portfolio allocations for HNI clients.,3,Unpaid
Information Technology,IT Support Intern,On-site,Troubleshoot hardware/software issues for employees.,3,Unpaid
Medical,Public Health Intern,Hybrid,Work on community health awareness and data reporting.,3,Unpaid
Environmental Science,Waste Management Intern,On-site,Research recycling processes and landfill optimization.,3,Unpaid
Computer Science,AI/ML Research Intern,Hybrid,Assist in training neural networks and researching algorithms.,12,10k - 20k
UPSC,Social Sector Intern,On-site,Work with NGOs on grassroots government initiatives.,3,Unpaid
Law,Legal Intern (Litigation),On-site,Assist in case research and drafting legal petitions.,6,10k - 20k
Management,Business Development Intern,Remote,Identify new lead sources and assist in client pitching.,3,20k+
Commerce,Audit Intern,On-site,Assist in verifying financial statements and compliance.,12,10k - 20k
Law,Legal Intern (Litigation),On-site,Assist in case research and drafting legal petitions.,3,Unpaid
Medical,Medical Research Assistant,On-site,Assist in clinical data collection and lab experiments.,6,Unpaid
Education,Special Education Intern,On-site,Assist in teaching students with diverse needs.,6,5k - 10k
Management,Operations Intern,On-site,Optimize supply chain workflows and inventory management.,6,10k - 20k
Robotics,Embedded Systems Intern,On-site,Program microcontrollers and test hardware sensors.,12,20k+
Design,UI/UX Design Intern,Remote,Build wireframes and prototypes for mobile apps.,12,5k - 10k
Hotel Management,Housekeeping Management Intern,On-site,Maintain room standards and inventory control.,12,Unpaid
Pharmacy,Quality Control Intern,On-site,Test pharmaceutical samples for purity and standards.,3,Unpaid
UPSC,Social Sector Intern,On-site,Work with NGOs on grassroots government initiatives.,3,20k+
Civil Engineering,Surveying Intern,On-site,Perform land measurements using total station and GPS.,3,Unpaid
Management,Marketing & Growth Intern,Remote,Execute social media campaigns and market analysis.,3,5k - 10k
Education,E-learning Content Intern,Remote,Develop digital lessons and interactive quizzes.,12,5k - 10k
Agriculture,Soil Analysis Intern,On-site,Test soil samples and recommend fertilizers.,3,10k - 20k
Hotel Management,Front Office Intern,On-site,"Handle guest check-ins, check-outs, and reservations.",6,Unpaid
Environmental Science,Waste Management Intern,On-site,Research recycling processes and landfill optimization.,3,Unpaid
Management,Marketing & Growth Intern,Remote,Execute social media campaigns and market analysis.,6,5k - 10k
UPSC,Social Sector Intern,On-site,Work with NGOs on grassroots government initiatives.,12,20k+
Agriculture,Soil Analysis Intern,On-site,Test soil samples and recommend fertilizers.,3,Unpaid
Medical,Medical Research Assistant,On-site,Assist in clinical data collection and lab experiments.,12,Unpaid
Civil Engineering,Site Supervision Intern,On-site,Monitor construction progress and safety compliance.,6,20k+
Information Technology,Cloud Infrastructure Intern,Hybrid,Assist in managing AWS/Azure cloud resources.,3,20k+
Computer Science,AI/ML Research Intern,Hybrid,Assist in training neural networks and researching algorithms.,3,20k+
Pharmacy,Quality Control Intern,On-site,Test pharmaceutical samples for purity and standards.,3,Unpaid
Media,Video Production Intern,On-site,Assist in shooting and editing video content.,3,Unpaid
Robotics,Mechanical Assembly Intern,On-site,Assist in the physical build of robotic prototypes.,6,Unpaid
Medical,Hospital Administration Intern,On-site,Learn healthcare operations and patient flow management.,12,Unpaid
Media,Public Relations Intern,Hybrid,Draft press releases and manage media relations.,12,Unpaid
Commerce,Financial Consulting Intern,Remote,Assist in client financial planning and advisory.,6,10k - 20k
Environmental Science,Wildlife Conservation Intern,On-site,Assist in habitat restoration and animal tracking.,6,20k+
Medical,Nursing Intern,On-site,Assist senior staff in patient care and vitals monitoring.,6,Unpaid
Information Technology,DevOps Intern,Remote,Help automate CI/CD pipelines and container orchestration.,3,20k+
Civil Engineering,Surveying Intern,On-site,Perform land measurements using total station and GPS.,12,5k - 10k
Computer Science,Cybersecurity Intern,On-site,Conduct vulnerability assessments and network monitoring.,3,20k+
Agriculture,Plant Breeding Intern,On-site,Assist in genetic research for pest-resistant crops.,3,20k+
Media,Social Media Intern,Remote,Manage engagement and content calendars.,12,5k - 10k
Banking,Investment Banking Analyst Intern,On-site,Perform financial modeling and market research.,3,10k - 20k
Pharmacy,Formulation R&D Intern,On-site,Assist in developing new drug delivery systems.,12,Unpaid
Computer Science,Cybersecurity Intern,On-site,Conduct vulnerability assessments and network monitoring.,6,5k - 10k
Environmental Science,Sustainability Intern,Hybrid,Help companies track and reduce their carbon footprint.,12,Unpaid
Computer Science,AI/ML Research Intern,Hybrid,Assist in training neural networks and researching algorithms.,12,20k+
Hotel Management,Event Management Intern,On-site,"Coordinate weddings, banquets, and corporate events.",6,10k - 20k
Robotics,Embedded Systems Intern,On-site,Program microcontrollers and test hardware sensors.,12,20k+
Robotics,Embedded Systems Intern,On-site,Program microcontrollers and test hardware sensors.,12,Unpaid
Media,Public Relations Intern,Hybrid,Draft press releases and manage media relations.,12,5k - 10k
Agriculture,Precision Farming Intern,On-site,Use GPS and IoT data to optimize crop yields.,6,10k - 20k
UPSC,Content Development Intern,Hybrid,Create study materials for civil service aspirants.,3,5k - 10k
Commerce,Financial Consulting Intern,Remote,Assist in client financial planning and advisory.,3,5k - 10k
Environmental Science,Environmental Consultant Intern,On-site,Perform EIA (Environmental Impact Assessment) tasks.,3,10k - 20k
Law,IPR Intern,Hybrid,"Research trademarks, patents, and copyright filings.",3,20k+
Management,Operations Intern,On-site,Optimize supply chain workflows and inventory management.,12,10k - 20k
Banking,Retail Banking Intern,On-site,Assist in loan processing and customer relationship management.,12,20k+
Hotel Management,Housekeeping Management Intern,On-site,Maintain room standards and inventory control.,6,5k - 10k
Banking,Wealth Management Intern,On-site,Help manage portfolio allocations for HNI clients.,6,Unpaid
Hotel Management,Front Office Intern,On-site,"Handle guest check-ins, check-outs, and reservations.",12,20k+
Design,UI/UX Design Intern,Remote,Build wireframes and prototypes for mobile apps.,6,5k - 10k
Environmental Science,Sustainability Intern,Hybrid,Help companies track and reduce their carbon footprint.,6,Unpaid
Design,Graphic Design Intern,Remote,Create brand visuals and social media graphics.,6,10k - 20k
Education,Curriculum Design Intern,Remote,Research and build educational frameworks.,3,10k - 20k
Hotel Management,Front Office Intern,On-site,"Handle guest check-ins, check-outs, and reservations.",12,10k - 20k
Hotel Management,Event Management Intern,On-site,"Coordinate weddings, banquets, and corporate events.",6,20k+
Robotics,Mechanical Assembly Intern,On-site,Assist in the physical build of robotic prototypes.,6,5k - 10k
Law,Corporate Law Intern,On-site,"Work on mergers, acquisitions, and contract drafting.",3,Unpaid
Computer Science,AI/ML Research Intern,Hybrid,Assist in training neural networks and researching algorithms.,12,5k - 10k
Management,Marketing & Growth Intern,Remote,Execute social media campaigns and market analysis.,12,10k - 20k
Information Technology,DevOps Intern,Remote,Help automate CI/CD pipelines and container orchestration.,6,Unpaid
Banking,Wealth Management Intern,On-site,Help manage portfolio allocations for HNI clients.,12,Unpaid
Media,Journalism Intern,On-site,Report local news and assist in editorial tasks.,12,Unpaid
Media,Social Media Intern,Remote,Manage engagement and content calendars.,6,5k - 10k
Media,Social Media Intern,Remote,Manage engagement and content calendars.,12,5k - 10k
Pharmacy,Pharmacovigilance Intern,Remote,Monitor and report adverse drug reactions.,6,5k - 10k
Agriculture,Agri-Business Intern,Hybrid,Work on supply chain and marketing of agri-products.,3,10k - 20k
Media,Social Media Intern,Remote,Manage engagement and content calendars.,6,Unpaid
Agriculture,Plant Breeding Intern,On-site,Assist in genetic research for pest-resistant crops.,6,5k - 10k
Medical,Public Health Intern,Hybrid,Work on community health awareness and data reporting.,12,20k+
Hotel Management,Front Office Intern,On-site,"Handle guest check-ins, check-outs, and reservations.",3,5k - 10k
Law,Legal Intern (Litigation),On-site,Assist in case research and drafting legal petitions.,6,20k+
Information Technology,IT Support Intern,On-site,Troubleshoot hardware/software issues for employees.,12,Unpaid
Law,Legal Intern (Litigation),On-site,Assist in case research and drafting legal petitions.,3,20k+
Medical,Public Health Intern,Hybrid,Work on community health awareness and data reporting.,3,20k+
Commerce,Audit Intern,On-site,Assist in verifying financial statements and compliance.,6,Unpaid
Robotics,Robotic Vision Intern,Hybrid,Work on image processing for autonomous robots.,12,5k - 10k
Robotics,Control Systems Intern,On-site,Tune PID controllers and simulate robot movements.,12,5k - 10k
Law,Legal Intern (Litigation),On-site,Assist in case research and drafting legal petitions.,3,20k+
Pharmacy,Quality Control Intern,On-site,Test pharmaceutical samples for purity and standards.,6,20k+
UPSC,Social Sector Intern,On-site,Work with NGOs on grassroots government initiatives.,6,5k - 10k
Commerce,Financial Consulting Intern,Remote,Assist in client financial planning and advisory.,3,Unpaid
Environmental Science,Sustainability Intern,Hybrid,Help companies track and reduce their carbon footprint.,6,20k+
Computer Science,Software Engineering Intern,Remote/On-site,Focus on full-stack development and bug fixing.,3,10k - 20k
Law,Corporate Law Intern,On-site,"Work on mergers, acquisitions, and contract drafting.",3,Unpaid
Civil Engineering,Surveying Intern,On-site,Perform land measurements using total station and GPS.,3,10k - 20k
Education,E-learning Content Intern,Remote,Develop digital lessons and interactive quizzes.,12,10k - 20k
Law,Legal Aid Intern,On-site,Provide legal support for underprivileged communities.,6,Unpaid
Civil Engineering,Site Supervision Intern,On-site,Monitor construction progress and safety compliance.,3,Unpaid
Environmental Science,Wildlife Conservation Intern,On-site,Assist in habitat restoration and animal tracking.,12,5k - 10k
UPSC,Content Development Intern,Hybrid,Create study materials for civil service aspirants.,3,Unpaid
Law,Legal Intern (Litigation),On-site,Assist in case research and drafting legal petitions.,3,5k - 10k
Robotics,Embedded Systems Intern,On-site,Program microcontrollers and test hardware sensors.,12,20k+
Design,Interior Design Intern,On-site,Assist in mood boarding and site measurements.,6,10k - 20k
Agriculture,Plant Breeding Intern,On-site,Assist in genetic research for pest-resistant crops.,3,20k+
UPSC,Content Development Intern,Hybrid,Create study materials for civil service aspirants.,3,20k+
Medical,Medical Research Assistant,On-site,Assist in clinical data collection and lab experiments.,6,5k - 10k
Robotics,Robotic Vision Intern,Hybrid,Work on image processing for autonomous robots.,3,Unpaid
Information Technology,Network Engineering Intern,On-site,"Configure routers, switches, and monitor network traffic.",12,Unpaid
Robotics,Mechanical Assembly Intern,On-site,Assist in the physical build of robotic prototypes.,3,10k - 20k
Medical,Hospital Administration Intern,On-site,Learn healthcare operations and patient flow management.,12,Unpaid
Environmental Science,Waste Management Intern,On-site,Research recycling processes and landfill optimization.,3,5k - 10k
Pharmacy,Formulation R&D Intern,On-site,Assist in developing new drug delivery systems.,12,Unpaid
