Branch,Job_Title,Location,Salary_Range,Work_Type
Agriculture,Agronomist,"Hyderabad, India",₹28 LPA,Full-time
Environmental Science,Sustainability Manager,"Bangalore, India",₹7 LPA,Contract
Banking,Branch Manager,"Pune, India",₹27 LPA,Full-time
Education,E-learning Specialist,"London, UK",$104k/year,Contract
Commerce,Tax Consultant,Singapore,$96k/year,Contract
Banking,Credit Analyst,"London, UK",$99k/year,Contract
Media,Content Strategist,"London, UK",$85k/year,Hybrid
Design,Graphic Designer,"Bangalore, India",₹13 LPA,Hybrid
Media,Journalist,"Bangalore, India",₹28 LPA,Contract
Robotics,Computer Vision Engineer,"Dubai, UAE",₹15 LPA,Contract
Education,Educational Consultant,"Mumbai, India",₹10 LPA,Full-time
Media,Video Editor,"Bangalore, India",₹24 LPA,Contract
Banking,Investment Banker,"London, UK",$131k/year,Contract
UPSC,IPS Officer,Singapore,$93k/year,Contract
UPSC,IAS Officer,"Pune, India",₹11 LPA,Full-time
Law,Compliance Officer,"Delhi NCR, India",₹19 LPA,Contract
Commerce,Financial Analyst,"Pune, India",₹29 LPA,Hybrid
Civil Engineering,Quantity Surveyor,Remote,₹15 LPA,Full-time
Environmental Science,Ecologist,"Mumbai, India",₹10 LPA,Contract
Education,School Principal,"London, UK",$139k/year,Full-time
Hotel Management,Restaurant Manager,Remote,₹7 LPA,Hybrid
Robotics,Robotics Engineer,"New York, USA",$110k/year,Contract
Pharmacy,Clinical Research Associate,"Bangalore, India",₹31 LPA,Contract
Law,Legal Consultant,"London, UK",$98k/year,Full-time
Information Technology,Cybersecurity Analyst,"London, UK",$128k/year,Hybrid
Commerce,Auditor,Remote,₹10 LPA,Full-time
Hotel Management,Front Office Manager,"Dubai, UAE",₹27 LPA,Hybrid
Media,Journalist,"Hyderabad, India",₹29 LPA,Contract
Banking,Branch Manager,"Pune, India",₹7 LPA,Hybrid
Commerce,Financial Analyst,"Delhi NCR, India",₹21 LPA,Hybrid
Banking,Risk Management Officer,"Delhi NCR, India",₹14 LPA,Hybrid
Education,E-learning Specialist,Singapore,$72k/year,Hybrid
Commerce,Tax Consultant,"Bangalore, India",₹35 LPA,Full-time
Media,Public Relations Specialist,"Dubai, UAE",₹13 LPA,Full-time
Pharmacy,Pharmacist,"London, UK",$87k/year,Hybrid
UPSC,IPS Officer,"Pune, India",₹27 LPA,Contract
Banking,Branch Manager,"New York, USA",$61k/year,Hybrid
Computer Science,AI Engineer,Remote,₹21 LPA,Contract
Robotics,Control Systems Engineer,"Mumbai, India",₹7 LPA,Hybrid
Management,Marketing Executive,"Pune, India",₹6 LPA,Contract
Management,Marketing Executive,"Mumbai, India",₹28 LPA,Hybrid
Information Technology,IT Support Specialist,"Pune, India",₹31 LPA,Full-time
Computer Science,Data Scientist,"Bangalore, India",₹32 LPA,Hybrid
Agriculture,Food Scientist,"Hyderabad, India",₹13 LPA,Full-time
Law,Litigation Lawyer,"Delhi NCR, India",₹6 LPA,Contract
Media,Content Strategist,"Bangalore, India",₹32 LPA,Contract
Robotics,Computer Vision Engineer,Remote,₹30 LPA,Contract
Commerce,Chartered Accountant,"London, UK",$100k/year,Full-time
Education,Educational Consultant,"Hyderabad, India",₹6 LPA,Contract
Environmental Science,Ecologist,"New York, USA",$127k/year,Full-time
Hotel Management,Executive Chef,"Delhi NCR, India",₹7 LPA,Full-time
Computer Science,Full Stack Developer,"Hyderabad, India",₹10 LPA,Hybrid
Law,Litigation Lawyer,"London, UK",$111k/year,Contract
Agriculture,Farm Manager,"Hyderabad, India",₹30 LPA,Contract
Management,Business Analyst,"London, UK",$73k/year,Hybrid
Medical,General Practitioner,"Bangalore, India",₹6 LPA,Hybrid
Robotics,Robotics Engineer,"Mumbai, India",₹35 LPA,Full-time
Computer Science,AI Engineer,Remote,₹30 LPA,Contract
UPSC,Public Policy Analyst,"Pune, India",₹10 LPA,Hybrid
Media,Social Media Manager,Remote,₹35 LPA,Contract
Medical,General Practitioner,"New York, USA",$99k/year,Hybrid
Computer Science,Full Stack Developer,"Pune, India",₹29 LPA,Full-time
Robotics,Control Systems Engineer,"Mumbai, India",₹34 LPA,Contract
UPSC,IRS Officer,"Pune, India",₹29 LPA,Contract
Education,E-learning Specialist,"New York, USA",$98k/year,Full-time
Banking,Branch Manager,"Hyderabad, India",₹31 LPA,Hybrid
Information Technology,Network Engineer,"London, UK",$81k/year,Full-time
Pharmacy,Clinical Research Associate,"Bangalore, India",₹33 LPA,Hybrid
Environmental Science,Sustainability Manager,"Pune, India",₹25 LPA,Hybrid
Hotel Management,Front Office Manager,"Pune, India",₹22 LPA,Hybrid
Agriculture,Agronomist,"Bangalore, India",₹29 LPA,Hybrid
Computer Science,Data Scientist,"London, UK",$99k/year,Contract
Environmental Science,EHS Officer,"New York, USA",$87k/year,Contract
Medical,Medical Researcher,"Bangalore, India",₹34 LPA,Hybrid
Media,Public Relations Specialist,"Delhi NCR, India",₹16 LPA,Contract
Environmental Science,Conservation Scientist,"Hyderabad, India",₹35 LPA,Full-time
Agriculture,Agronomist,"Hyderabad, India",₹25 LPA,Contract
Media,Public Relations Specialist,Remote,₹25 LPA,Hybrid
Law,IPR Lawyer,"New York, USA",$143k/year,Hybrid
Management,Operations Manager,Singapore,$147k/year,Contract
Commerce,Tax Consultant,"Hyderabad, India",₹27 LPA,Contract
Law,Compliance Officer,Singapore,$108k/year,Hybrid
Banking,Investment Banker,"London, UK",$115k/year,Contract
Media,Public Relations Specialist,"Dubai, UAE",₹15 LPA,Contract
Pharmacy,Drug Safety Officer,"Hyderabad, India",₹24 LPA,Contract
Agriculture,Farm Manager,Remote,₹17 LPA,Contract
Pharmacy,Drug Safety Officer,"Delhi NCR, India",₹7 LPA,Contract
Management,Project Manager,"Dubai, UAE",₹5 LPA,Hybrid
Agriculture,Soil Scientist,Singapore,$88k/year,Full-time
Banking,Relationship Manager,"Delhi NCR, India",₹27 LPA,Hybrid
Environmental Science,EHS Officer,"London, UK",$109k/year,Hybrid
Media,Social Media Manager,"Pune, India",₹16 LPA,Full-time
Pharmacy,Pharmacist,"Bangalore, India",₹34 LPA,Full-time
Management,Operations Manager,"Hyderabad, India",₹17 LPA,Full-time
Pharmacy,Pharmacist,"Bangalore, India",₹23 LPA,Hybrid
Hotel Management,Hotel Manager,"Bangalore, India",₹30 LPA,Hybrid
Hotel Management,Event Coordinator,"Hyderabad, India",₹30 LPA,Hybrid
Hotel Management,Event Coordinator,"Bangalore, India",₹5 LPA,Hybrid
Environmental Science,Ecologist,"Hyderabad, India",₹30 LPA,Hybrid
Commerce,Financial Analyst,"New York, USA",$61k/year,Hybrid
Agriculture,Food Scientist,Remote,₹29 LPA,Hybrid
UPSC,IAS Officer,"New York, USA",$68k/year,Contract
Pharmacy,Pharmacologist,"Mumbai, India",₹18 LPA,Hybrid
Pharmacy,Drug Safety Officer,"Dubai, UAE",₹8 LPA,Hybrid
Education,School Principal,Remote,₹12 LPA,Hybrid
Education,E-learning Specialist,"New York, USA",$79k/year,Hybrid
UPSC,Public Policy Analyst,"Mumbai, India",₹26 LPA,Full-time
Hotel Management,Executive Chef,"London, UK",$87k/year,Contract
Law,Corporate Lawyer,"Mumbai, India",₹11 LPA,Hybrid
Information Technology,System Administrator,"London, UK",$114k/year,Full-time
Pharmacy,Medical Representative,"Dubai, UAE",₹22 LPA,Full-time
Medical,General Practitioner,Remote,₹6 LPA,Full-time
Computer Science,Data Scientist,Remote,₹5 LPA,Hybrid
Pharmacy,Clinical Research Associate,"Pune, India",₹24 LPA,Contract
Management,Business Analyst,Remote,₹24 LPA,Hybrid
Environmental Science,Ecologist,"Dubai, UAE",₹23 LPA,Full-time
Commerce,Investment Advisor,Singapore,$104k/year,Full-time
Environmental Science,Environmental Consultant,"Delhi NCR, India",₹17 LPA,Hybrid
Environmental Science,Ecologist,Remote,₹29 LPA,Full-time
Law,IPR Lawyer,"Dubai, UAE",₹15 LPA,Full-time
Computer Science,Backend Developer,"Delhi NCR, India",₹25 LPA,Contract
Management,Marketing Executive,"London, UK",$63k/year,Full-time
Civil Engineering,Construction Manager,"Bangalore, India",₹5 LPA,Hybrid
Media,Social Media Manager,"Hyderabad, India",₹25 LPA,Full-time
Environmental Science,EHS Officer,"Bangalore, India",₹31 LPA,Hybrid
Education,Curriculum Developer,"New York, USA",$146k/year,Full-time
Pharmacy,Clinical Research Associate,"New York, USA",$116k/year,Hybrid
Banking,Credit Analyst,"Hyderabad, India",₹25 LPA,Contract
UPSC,IFS Officer,Singapore,$61k/year,Contract
Agriculture,Agronomist,"Bangalore, India",₹20 LPA,Hybrid
Education,School Principal,"Delhi NCR, India",₹25 LPA,Contract
Environmental Science,EHS Officer,"Pune, India",₹5 LPA,Full-time
Media,Journalist,"Mumbai, India",₹16 LPA,Full-time
Robotics,Robotics Engineer,"Pune, India",₹28 LPA,Full-time
Hotel Management,Front Office Manager,"Hyderabad, India",₹22 LPA,Hybrid
Design,Interior Designer,"New York, USA",$145k/year,Full-time
Medical,Surgeon,"Mumbai, India",₹7 LPA,Contract
Commerce,Tax Consultant,"Delhi NCR, India",₹14 LPA,Hybrid
Education,Educational Consultant,"Mumbai, India",₹18 LPA,Full-time
Computer Science,Full Stack Developer,"Bangalore, India",₹28 LPA,Full-time
Media,Video Editor,"Delhi NCR, India",₹31 LPA,Hybrid
